name,group,"Labour Union","Television","Armed Forces","Churches","Government in your nation’s capital","Police","Press","United Nations"
"World","World",37.2,52.4,62.9,73.1,47.8,54.4,48.7,43.1
"Albania","Europe",27.8,53.3,53.3,65.4,57.3,64.3,34.1,81.0
"Algeria","Africa",25.4,44.5,61.2,86.0,50.9,63.0,45.9,12.5
"Argentina","South America",11.1,32.2,25.5,59.2,18.8,23.8,37.3,35.2
"Bangladesh","Asia",62.3,81.2,71.6,98.3,86.5,52.6,90.0,81.4
"Bosnia Herzegovina","Europe",21.2,34.8,59.9,48.6,29.4,63.3,24.7,38.0
"Canada","North America",34.2,37.2,61.6,58.1,40.6,78.1,34.7,59.0
"Chile","South America",43.8,52.3,46.9,77.8,56.9,54.7,47.4,46.9
"China","Asia",43.0,71.2,96,78.9,95.2,71.3,64.3,37.1
"India","Asia",35.9,61.9,83.3,95.3,48.5,34.0,59.7,22.6
"Indonesia","Asia",33.8,59.8,73,9.0,50.6,51.2,52.6,42.5
"Japan","Asia",33.5,65.1,61.5,87.7,25.4,48.1,70.2,46.4
"Jordan","Asia",38.9,55.9,88.5,46.6,79.7,87.7,55.6,30.0
"South Korea","Asia",49.1,62.5,62.4,66.8,28.9,49.0,64.9,55.1
"Kyrgyzstan","Asia",38.3,51.5,56.9,80.7,34.9,22.9,43.3,57.8
"Mexico","North America",25.4,45.3,51.2,80.7,35.9,29.1,39.1,35.8
"Moldova","Europe",30.5,48.2,54.8,99.5,36.3,34.2,42.4,64.6
"Morocco","Africa",13.5,27.3,69.5,94.7,54.9,51.5,30.2,6.0
"Nigeria","Africa",63.1,71.5,45.8,87.8,46.5,34.4,62.8,65.2
"Pakistan","Asia",19.6,50.9,84.6,70.7,33.3,27.9,45.4,19.0
"Peru","South America",21.1,25.1,22,91.3,19.2,16.2,22.9,41.4
"Philippines","Asia",53.4,71.1,73.5,82.9,47.6,60.7,66.8,72.3
"Puerto Rico","North America",40.4,26.2,51.9,95.7,43.5,55.7,40.2,63.9
"Vietnam","Asia",71.9,66.3,94.7,21.7,96.9,91.0,80.8,49.2
"South Africa","Africa",46.0,90.7,52,81.7,59.3,54.9,61.4,56.7
"Zimbabwe","Africa",46.9,73.9,55.3,83.0,47.2,62.3,48.2,43.7
"Spain","Europe",30.9,53.0,40.2,41.7,42.9,61.3,40.0,49.3
"Turkey","Asia",49.8,36.9,85.2,71.1,45.5,70.1,34.8,44.1
"Uganda","Africa",47.1,60.0,73.7,87.3,75.5,54.2,64.3,77.0
"Macedonia","Europe",12.2,21.7,53.8,45.5,10.7,50.4,19.2,35.4
"Egypt","Africa",50.6,67.0,57.1,83.7,53.3,87.5,64.1,26.4
"Tanzania","Africa",60.8,75.1,88.6,90.1,79.0,65.4,72.5,76.6
"United States","North America",36.3,24.4,81,74.2,37.3,70.6,26.6,55.0
"Venezuela","South America",22.7,63.7,63.4,76.5,55.7,41.2,64.7,47.3
"Serbia","Europe",19.0,28.4,72.5,49.2,28.3,45.9,27.4,15.6
"Montenegro","Europe",17.3,36.3,47.9,46.1,31.8,37.9,22.8,41.2
